Ma ck,gia,eps,pe,gt so sach,klgd10,kl niem yet,kl luu hanh,von hoa
ATS,28.5,0.13,213.03,12.26,20.0,3500000.0,3500000.0,99.75
AVC,25.0,0.8,31.08,15.94,230.0,75052052.0,75052052.0,1876.3
B82,0.5,0.13,3.99,10.13,130.0,5000000.0,5000000.0,2.5
BAX,69.0,18.38,3.78,36.04,21725.0,8200000.0,8200000.0,569.08
BBC,63.0,7.13,8.49,68.61,8032.0,15420782.0,15420782.0,932.96
BBH,16.0,2.08,7.69,38.26,,2047932.0,2047932.0,32.77
BBM,13.3,1.61,8.27,13.18,,2000000.0,2000000.0,26.6
BBS,11.9,1.15,10.37,17.51,33.0,6000000.0,6000000.0,71.4
BBT,18.0,2.54,7.08,4.44,569.0,9800000.0,9800000.0,176.4
BCB,6.6,2.29,2.88,12.57,,5000000.0,5000000.0,33.0
BCC,7.6,0.93,8.19,16.77,615232.0,123209812.0,123209812.0,936.39
BCE,9.1,1.11,8.48,11.34,256741.0,30000000.0,30000000.0,283.5
BCF,46.0,3.07,15.15,13.54,780.0,21083725.0,21083725.0,980.39
BCG,9.39,0.46,21.12,10.61,1386242.0,108005760.0,136005760.0,1312.46
BCI,41.6,1.43,29.23,24.23,41111.0,86720144.0,86720144.0,3633.57
BCM,41.15,1.97,20.9,14.59,85948.0,1035000000.0,1035000000.0,42642.0
BDB,10.8,1.09,9.94,11.75,,1126474.0,1126474.0,12.17
BDC,7.8,0.5,15.48,10.87,,21735900.0,21735900.0,169.54
BDF,16.0,3.93,4.07,29.68,,1550000.0,1550000.0,24.8
BDG,48.1,8.31,5.84,26.25,30660.0,12000000.0,12000000.0,582.0
BDT,19.6,2.38,9.08,13.32,16666.0,38600000.0,38595400.0,833.66
BDW,12.0,1.91,6.28,14.39,30.0,12410800.0,12410800.0,148.93
BED,33.0,2.5,13.23,13.54,,3000000.0,3000000.0,99.0
BEL,11.5,2.62,4.39,11.22,,6000000.0,6000000.0,69.0
BFC,16.35,2.09,7.73,16.84,558122.0,57167993.0,57167993.0,926.12
BGM,0.98,0.01,91.62,10.22,167937.0,45753840.0,45753840.0,42.09
BGW,22.0,0.44,49.65,10.42,100.0,18149446.0,18149446.0,399.29
BHA,9.5,0.09,110.38,9.81,120.0,66000000.0,66000000.0,660.0
BHC,2.9,0.03,90.95,-17.75,,4500000.0,4500000.0,13.05
BHG,12.1,0.47,25.9,23.95,,8935643.0,3856665.0,46.67
BHK,12.2,2.51,4.85,13.78,20.0,3986000.0,3986000.0,48.63
BHN,76.0,2.34,32.11,21.42,4190.0,231800000.0,231800000.0,17385.0
BHP,6.6,0.47,14.81,17.09,553.0,9179290.0,9179290.0,64.26
BHS,21.7,2.39,12.24,12.39,2391892.0,297874449.0,297874449.0,6553.24
BIC,20.5,1.8,11.79,17.34,131266.0,117276895.0,117276895.0,2492.13
BIO,9.5,0.57,16.62,10.6,,8562000.0,8554500.0,81.27
BKH,26.7,3.45,7.74,28.57,40.0,1750000.0,1750000.0,46.73
BLI,7.9,0.69,13.02,,4624.0,60000000.0,59999474.0,540.0
BLN,1.6,0.44,3.65,10.81,,5000000.0,5000000.0,8.0
BLT,18.9,1.0,18.89,39.01,,4000000.0,4000000.0,75.6
BLW,17.6,0.78,22.47,10.77,,11168800.0,11168800.0,196.57
BM9,10.2,0.71,14.32,10.7,,3795680.0,3795680.0,38.72
BMC,12.05,1.17,10.2,15.92,71419.0,12392630.0,12392630.0,148.09
BMD,8.0,2.12,3.77,12.34,,2753280.0,2753280.0,22.03
BMF,21.3,4.22,5.05,27.68,720.0,4159600.0,4159600.0,88.6
BMG,28.0,3.03,9.25,17.03,,5292000.0,5292000.0,148.18
BMI,30.3,1.99,15.26,24.62,553607.0,91354037.0,91354037.0,2768.03
BMJ,28.5,2.55,11.17,13.63,2949.0,6000000.0,6000000.0,171.0
BMN,5.8,1.65,3.53,11.01,,2750000.0,2750000.0,15.95
BMP,64.7,6.19,10.44,28.84,265131.0,81860938.0,81860938.0,5288.22
BMV,10.0,0.12,85.04,10.09,,24200000.0,24200000.0,242.0
BNA,33.4,1.45,23.03,17.33,153927.0,8000000.0,8000000.0,268.0
BNW,9.7,0.82,11.86,10.89,,37549391.0,37549391.0,364.23
BPC,10.1,1.86,5.43,25.43,100.0,3800000.0,3800000.0,38.38
BPW,26.4,0.62,42.59,10.49,,13203858.0,13203858.0,348.58
BRC,11.2,1.65,6.81,16.46,1373.0,12374997.0,12374997.0,138.6
BRR,11.0,0.64,16.39,10.95,3321.0,112500000.0,112500000.0,1181.25
BRS,14.1,inf,,13.52,,4541950.0,4541950.0,64.04
BSA,12.9,0.98,12.8,11.95,8629.0,60018942.0,60018942.0,750.24
BSC,11.7,0.4,29.02,11.87,,3150747.0,3150747.0,36.86
BSD,27.0,4.35,6.2,19.44,,3000000.0,3000000.0,81.0
BSH,24.3,1.67,14.57,14.8,25.0,18000000.0,18000000.0,437.4
BSI,11.2,1.03,10.83,12.04,430976.0,122070078.0,121570689.0,1355.51
BSL,9.6,inf,,10.74,6130.0,45000000.0,45000000.0,472.5
BSP,17.8,2.31,7.72,18.83,1130.0,12500000.0,12500000.0,222.5
BSQ,19.2,2.39,8.38,14.3,2100.0,45000000.0,45000000.0,900.0
BST,14.7,1.36,10.81,12.96,350.0,1100000.0,1100000.0,16.17
BT1,11.8,2.11,5.59,19.45,,5250000.0,5250000.0,61.95
BTB,5.8,0.37,15.88,14.27,,7691226.0,7691226.0,44.61
BTD,22.6,4.74,4.73,26.57,23682.0,6414100.0,6414100.0,143.68
BTH,4.2,0.15,28.45,5.44,20.0,3500000.0,46500000.0,195.3
BTN,2.9,0.03,97.18,11.43,603.0,4465570.0,4465570.0,14.74
BTP,14.05,3.66,3.86,20.06,11816.0,60485600.0,60485600.0,852.85
BTR,3.0,1.76,1.7,12.1,,1850000.0,1850000.0,5.55
BTS,4.3,0.48,8.91,11.77,2227.0,123559858.0,123559858.0,531.31
BTT,36.8,2.09,18.68,26.48,606.0,14121297.0,13500000.0,526.5
BTU,6.7,2.52,2.66,14.3,,3600000.0,3600000.0,24.12
BTW,32.0,3.1,10.33,21.42,260.0,9360000.0,9360000.0,299.52
BUD,6.8,2.12,3.31,30.95,461.0,10000000.0,3505000.0,24.54
BVG,1.7,0.05,34.77,7.88,57632.0,9750948.0,9750948.0,16.58
BVH,58.2,1.74,33.71,17.78,1090485.0,742322764.0,742322764.0,43500.11
BVS,14.0,1.69,8.16,26.01,876997.0,72233937.0,72218737.0,996.62
BWA,5.1,0.75,6.84,12.72,330.0,2700000.0,2700000.0,13.77
BWE,31.7,3.67,8.63,16.58,892071.0,150000000.0,150000000.0,4755.0
BWS,35.2,2.51,13.95,11.67,1803.0,90000000.0,90000000.0,3150.0
BXD,8.5,inf,,14.25,,1136500.0,1736500.0,14.76
BXH,12.0,1.16,10.32,18.96,40.0,3012040.0,3012040.0,36.14
BXT,10.6,33.73,0.31,80.97,,63400.0,63400.0,0.67
C12,2.5,0.71,3.53,16.3,50.0,4850000.0,4850000.0,12.13
C21,15.0,1.19,12.02,36.37,1331.0,19336371.0,22806879.0,326.14
C22,12.7,2.39,5.32,19.65,30.0,3550000.0,3550000.0,45.09
C32,24.7,5.8,4.3,36.78,299383.0,15030145.0,15030145.0,374.25
C36,9.1,0.99,9.18,14.46,,1123500.0,1123500.0,10.22
C47,9.6,0.99,9.9,16.53,306096.0,17020130.0,17020130.0,166.8
C4G,10.2,0.51,20.11,11.84,1173513.0,100000000.0,100000000.0,1020.0
C69,7.5,0.29,28.33,5.17,118530.0,30000000.0,30000000.0,243.0
C71,6.4,0.22,28.9,12.21,80.0,5000000.0,5000000.0,32.0
C92,3.4,0.43,8.17,11.25,5221.0,5312920.0,5312920.0,18.6
CAB,140.9,0.82,171.48,11.7,,45745876.0,45745876.0,6445.59
CAG,85.7,0.26,328.07,10.65,,13800000.0,13800000.0,1182.66
CAM,15.7,4.41,3.56,12.37,,14400.0,1310700.0,20.58
CAN,28.1,4.01,7.01,25.72,225.0,5000000.0,5000000.0,140.5
CAP,37.6,5.75,6.54,16.4,7536.0,5236023.0,5236023.0,196.87
CAT,14.0,2.14,6.68,11.84,2210.0,9748579.0,9748579.0,139.4
CAV,70.4,6.67,10.47,29.71,1204.0,57600000.0,57489430.0,4018.51
CBC,9.7,0.08,127.07,9.87,,11882400.0,11882400.0,115.26
CBS,7.3,2.15,3.39,17.5,,3527925.0,3528000.0,25.75
CC4,7.8,0.09,91.69,12.33,10.0,16000000.0,16000000.0,124.8
CCA,10.5,0.83,12.62,14.04,346.0,15092326.0,15092326.0,158.47
CCH,3.9,0.22,17.67,12.08,,1000000.0,1000000.0,3.9
CCI,14.0,1.8,7.44,15.34,2645.0,17743865.0,17541105.0,235.05
CCL,7.75,0.96,8.17,12.12,332564.0,47499885.0,47499885.0,370.5
CCM,44.9,10.19,4.41,46.07,121.0,6199900.0,6199900.0,279.0
CCP,7.6,0.16,47.02,13.91,260.0,2400000.0,2400000.0,18.24
CCR,15.6,1.01,14.6,11.07,870.0,24501817.0,24453617.0,361.91
CCT,10.0,0.13,77.94,9.19,,28480000.0,28480000.0,284.8
CCV,18.0,7.27,2.48,23.79,33.0,1800000.0,1800000.0,32.4
CDC,24.0,2.61,9.11,19.06,105240.0,15706406.0,15706406.0,373.81
CDG,4.2,0.65,6.5,13.07,,3464995.0,3464995.0,14.55
CDH,3.6,1.1,3.27,19.2,,2000000.0,2000000.0,7.2
CDN,25.8,2.12,12.28,13.75,2751.0,99000000.0,99000000.0,2574.0
CDP,10.2,1.37,7.66,12.02,7843.0,18270000.0,18208800.0,191.19
CDR,5.7,1.42,4.0,16.63,,1600000.0,1600000.0,9.12
CE1,8.0,0.3,27.08,14.64,,6000000.0,6000000.0,48.0
CEC,15.0,0.12,120.07,14.35,,5977036.0,5977036.0,89.66
CEE,18.15,0.61,29.86,11.11,87585.0,41500000.0,39500000.0,718.9
CEG,11.3,0.43,26.22,23.49,,3800000.0,3800000.0,42.94
CEN,6.8,0.7,9.81,4.58,20184.0,3809200.0,3809200.0,26.28
CEO,8.4,0.47,18.2,11.42,4363206.0,257339985.0,257339985.0,2187.39
CER,10.7,0.35,30.88,10.41,,1335000.0,1335000.0,14.28
CFV,21.3,2.08,10.23,20.77,,6256100.0,6256100.0,133.25
CGP,12.0,1.5,7.98,4.02,4095.0,10735708.0,10735708.0,128.83
CGV,4.4,0.0,1135.67,8.81,,9499956.0,9499956.0,41.8
CH5,6.7,1.89,3.55,20.64,,3732450.0,3732450.0,25.01
CHC,2.5,3.44,0.73,16.3,,2720000.0,2720000.0,6.8
CHP,19.7,1.47,13.42,11.33,21467.0,146912668.0,146912668.0,2894.18
CHS,10.0,1.62,6.16,11.15,551.0,28400000.0,28400000.0,284.0
CI5,3.8,0.21,19.59,13.23,1210.0,2700000.0,2699922.0,11.07
CID,4.8,1.67,2.88,8.57,280.0,1082000.0,971100.0,4.66
CII,19.25,2.25,8.64,21.66,3310634.0,283168152.0,238838282.0,4633.46
CIP,20.7,inf,,10.0,,4545000.0,4545000.0,94.08
CKA,19.5,4.77,4.09,25.01,100.0,3286404.0,3286404.0,64.08
CKD,17.7,4.09,4.96,15.06,1870.0,31000000.0,31000000.0,629.3
CKG,13.05,2.01,6.87,11.61,1765126.0,52499781.0,52499781.0,724.5
CKH,3.2,0.03,127.43,39.16,,1037626.0,1037626.0,3.32
CKV,12.9,0.94,13.68,21.39,750.0,4050000.0,4012000.0,51.75
CLC,30.8,5.27,5.82,27.64,8492.0,26207583.0,26207583.0,804.57
CLG,0.97,0.63,1.52,1.25,95057.0,21150000.0,21150000.0,20.3
CLH,21.0,3.76,5.75,15.1,4538.0,12000000.0,12000000.0,259.2
CLL,30.9,2.51,12.29,17.83,2461.0,34000000.0,34000000.0,1050.6
CLM,23.5,6.1,3.85,17.4,10.0,11000000.0,11000000.0,258.5
CLW,25.0,0.8,31.28,16.41,7.0,13000000.0,13000000.0,325.0
CLX,17.0,1.83,9.29,14.07,102851.0,86600000.0,86600000.0,1472.2
CMC,5.3,0.36,14.66,12.66,3800.0,4561050.0,4561050.0,24.17
CMD,18.3,4.31,4.24,13.57,551.0,15000000.0,15000000.0,274.5
CMF,161.0,20.57,7.83,55.58,,8100000.0,8100000.0,1304.1
CMG,32.5,1.44,22.7,19.89,101629.0,99999866.0,99999866.0,3270.0
CMK,8.3,0.87,9.56,16.08,,1432578.0,1432578.0,11.89
CMN,52.9,5.16,10.25,29.29,310.0,4800000.0,4800000.0,253.92
CMP,8.3,0.64,13.04,11.04,,32405415.0,32405415.0,268.96
CMT,7.6,1.41,5.38,20.67,1820.0,8000000.0,8000000.0,60.8
CMV,15.6,1.46,10.69,15.23,221.0,12103912.0,12103912.0,188.82
CMW,17.2,0.78,22.04,11.42,,15534900.0,15534900.0,267.2
CMX,16.55,3.36,4.94,11.26,640113.0,26442468.0,33052997.0,548.68
CNC,21.5,2.68,9.21,12.49,390.0,11364325.0,11364326.0,280.7
CNG,19.5,1.44,13.58,17.79,47970.0,27000000.0,27000000.0,526.5
CNH,6.0,0.18,28.32,9.49,150.0,24539049.0,24539049.0,125.15
CNN,18.2,1.33,13.64,15.31,10.0,8800000.0,8800000.0,160.16
CNT,8.8,0.13,69.0,-9.08,16224.0,10015069.0,40015069.0,352.13
COM,46.5,2.16,20.93,32.26,828.0,14120628.0,14120628.0,639.66
CPC,16.5,2.19,7.58,18.95,1374.0,4303050.0,4081450.0,67.75
CPH,3.5,2.06,1.7,11.34,,4400000.0,4400000.0,15.4
CPI,1.4,0.02,60.68,-0.8,10.0,36505000.0,36505000.0,51.11
CPW,2.0,0.53,3.76,10.35,320.0,26875000.0,26875000.0,53.75
CQN,18.3,1.34,13.05,12.02,1424.0,50049936.0,75049936.0,1313.37
CQT,2.2,1.14,1.92,6.38,,25000000.0,25000000.0,55.0
CRC,17.15,0.33,49.04,11.84,300001.0,15000000.0,15000000.0,239.25
CRE,32.8,3.82,8.72,24.94,1159045.0,80000000.0,79999892.0,2664.0
CSG,11.7,inf,,7.95,184460.0,29742020.0,26680820.0,325.51
CSI,14.3,0.62,22.58,10.09,770.0,16800000.0,16800000.0,236.88
CSM,17.0,0.92,18.41,12.02,72572.0,103626467.0,103625262.0,1746.09
CSV,28.5,4.72,6.05,22.71,335059.0,44200000.0,44200000.0,1261.91
CT3,7.5,0.48,15.67,15.24,20.0,8000000.0,8000000.0,60.0
CT5,10.2,0.59,17.22,10.64,,4400000.0,4400000.0,44.88
CT6,5.5,0.04,151.77,5.86,8368.0,6108078.0,6108078.0,32.98
CTB,27.8,3.02,9.2,16.22,1070.0,13680000.0,13680000.0,380.3
CTC,3.8,0.02,228.95,3.07,,8799926.0,15799926.0,60.04
CTD,71.2,7.81,9.27,109.55,1458013.0,79255000.0,77184323.0,5588.14
CTF,21.45,0.12,172.36,11.14,71429.0,45539968.0,45539968.0,974.56
CTI,14.2,1.63,8.73,19.98,992626.0,62999997.0,54799997.0,780.9
CTP,3.2,0.53,6.22,12.45,47839.0,12099992.0,12099992.0,39.93
CTR,62.4,3.18,19.8,15.07,1047233.0,70408125.0,71781828.0,4522.26
CTS,11.0,0.69,16.01,12.57,1040373.0,106436576.0,106399644.0,1170.4
CTT,12.1,2.4,4.55,12.59,260.0,4697351.0,4697351.0,51.2
CTW,11.5,1.48,7.77,14.04,90.0,28000000.0,27997200.0,321.97
CTX,7.1,0.97,7.3,12.55,2830.0,78907276.0,78907276.0,560.24
CVC,4.4,0.2,21.54,10.56,4506.0,2200000.0,2200000.0,9.68
CVH,10.7,1.69,6.34,11.39,,1280000.0,1280000.0,13.7
CVN,10.9,4.35,4.12,19.63,371088.0,8250000.0,11550000.0,131.67
CVT,41.5,3.85,10.83,19.81,162251.0,36690887.0,36690887.0,1530.01
CX8,8.6,0.13,68.34,12.42,,2110586.0,2208426.0,18.99
CXH,7.0,0.89,7.82,11.25,,1885306.0,1885379.0,13.2
CZC,9.5,0.53,9.48,12.69,160.0,5602590.0,5602590.0,28.01
D11,26.6,2.7,9.19,17.49,12172.0,6551965.0,6551965.0,162.49
D26,8.3,3.43,2.42,17.27,,1000000.0,1000000.0,8.3
D2D,57.9,15.87,3.67,42.4,335710.0,21354984.0,30259742.0,1761.12
DAD,17.5,2.62,6.88,18.56,1094.0,5000000.0,4659200.0,83.87
DAE,14.8,3.08,4.81,24.66,1910.0,1498680.0,1498680.0,22.18
DAG,6.7,0.36,18.68,13.04,606802.0,51795085.0,51793326.0,351.16
DAP,35.0,7.39,5.44,59.7,60.0,1680000.0,1680000.0,67.54
DAR,9.2,1.57,5.86,12.64,40.0,6500000.0,6500000.0,59.8
DAS,13.7,0.65,21.09,12.2,37.0,4200000.0,4200000.0,57.54
DAT,31.8,1.12,28.5,13.92,3777.0,46005413.0,46005413.0,1462.97
DBC,48.6,13.28,3.68,37.64,2329154.0,104763911.0,104763911.0,5117.72
DBD,44.8,3.16,14.16,20.24,50199.0,52379000.0,52379000.0,2346.58
DBF,9.9,inf,,11.53,,3679200.0,3679200.0,
DBH,9.5,0.64,14.76,10.64,,2200000.0,2200000.0,20.9
DBM,28.1,3.63,8.9,29.98,110.0,1941588.0,1941588.0,62.71
DBT,13.4,1.01,13.28,13.7,17594.0,13528814.0,13528814.0,181.29
DBW,10.0,0.03,309.97,10.76,,39320100.0,39320100.0,393.2
DC1,9.8,2.36,3.94,13.38,5719.0,1649970.0,3150000.0,29.3
DC2,9.5,5.23,1.82,13.47,1920.0,2520000.0,2520000.0,23.94
DC4,10.9,1.21,8.94,11.9,18729.0,31999758.0,31999758.0,347.2
DCC,10.0,0.64,14.89,19.11,268.0,10300000.0,10300000.0,97.85
DCG,19.5,3.23,6.04,13.56,,6825000.0,6824996.0,133.09
DCH,5.1,0.52,9.87,11.33,,2880000.0,2880000.0,14.69
DCI,1.3,3.38,0.38,13.96,,2412518.0,2182518.0,2.84
DCL,21.9,2.25,9.63,15.43,129331.0,56832824.0,56832824.0,1230.43
DCM,12.5,1.1,11.4,12.25,3430137.0,529400000.0,529400000.0,6643.97
DCR,2.2,0.35,6.21,10.02,41.0,6500000.0,6500000.0,14.3
DCS,0.5,0.02,23.04,10.48,129278.0,60310988.0,60309533.0,30.15
DCT,0.8,0.24,3.28,-5.6,4883.0,27223647.0,27223647.0,21.78
DDG,28.4,0.64,44.44,12.63,118286.0,28519943.0,28519943.0,815.67
DDH,5.3,3.85,1.38,12.02,,3600000.0,3600000.0,19.08
DDN,10.9,1.51,7.18,14.45,8012.0,12134474.0,12160896.0,131.34
DFC,18.4,3.42,5.39,24.75,,6000000.0,6000000.0,110.4
DGC,48.05,5.61,8.64,26.19,671364.0,129363616.0,148766070.0,7207.72
DGL,40.0,6.23,6.42,22.87,54952.0,99785463.0,99785463.0,3991.42
DGT,60.7,0.26,229.83,7.54,5813.0,6481000.0,6481000.0,393.4
DGW,79.0,5.14,15.38,24.61,329275.0,43151747.0,43000278.0,3401.32
DHA,43.7,5.79,7.53,28.52,23056.0,15119946.0,14726073.0,642.06
DHC,60.7,6.14,9.9,22.15,321893.0,56685874.0,55995783.0,3404.54
DHD,24.8,4.1,7.68,40.46,450.0,9999945.0,9999945.0,248.0
DHG,105.5,5.62,18.68,25.65,10021.0,130746071.0,130746071.0,13728.34
DHL,2.8,inf,,10.24,48250.0,5500000.0,5500000.0,15.4
DHM,9.56,0.24,40.84,11.56,449969.0,31396180.0,31396180.0,304.54
DHN,10.0,1.25,7.97,11.44,,6290900.0,6290900.0,62.91
DHP,9.6,1.26,7.6,16.97,3115.0,9492200.0,9492200.0,91.13
DHT,54.8,4.23,12.78,14.44,23182.0,21127365.0,21125852.0,1140.8
DID,2.8,0.39,7.25,11.81,1060.0,13900000.0,13900000.0,38.92
DIG,25.35,1.5,16.95,13.01,4423504.0,314943601.0,310237121.0,7880.02
DIH,12.1,0.51,23.64,15.48,637.0,5979962.0,5910262.0,71.51
DKC,25.7,0.59,43.62,11.04,70.0,2288540.0,2288540.0,58.82
DKP,6.5,0.87,7.51,11.5,600.0,3003910.0,2995910.0,19.47
DL1,27.9,0.24,117.9,10.82,50.0,101177353.0,101177353.0,2822.85
DLC,38.8,1.91,20.32,11.35,,4780080.0,4780080.0,185.47
DLT,10.3,4.33,2.38,24.03,,2500056.0,2500056.0,25.75
DLV,13.0,0.93,13.96,11.32,,2910000.0,2910000.0,37.83
DM7,7.8,2.92,2.67,14.52,,15411100.0,15411100.0,120.21
DMC,56.6,5.79,9.72,36.6,68389.0,34727465.0,34727465.0,1955.16
DNA,18.9,2.66,6.81,35.5,252.0,53647445.0,53647445.0,971.02
DNB,6.9,8.16,0.85,318.35,,1447554.0,50000.0,0.35
DNC,50.0,4.09,12.22,13.5,1590.0,5137850.0,5137850.0,256.89
DND,25.3,1.43,18.13,14.15,110.0,8834000.0,8834000.0,229.68
DNE,9.7,2.2,4.4,12.66,290.0,5773600.0,5773600.0,56.0
DNF,2.2,0.42,5.22,6.31,,5000000.0,5000000.0,11.0
DNH,28.0,1.61,20.0,13.27,390.0,422400000.0,422400000.0,13601.28
DNL,17.5,2.36,7.42,12.98,500.0,4310000.0,4310000.0,75.43
DNM,41.8,8.38,4.89,26.48,40148.0,4377605.0,4377605.0,179.48
DNN,0.2,2.42,0.08,12.05,,57964061.0,57964061.0,11.59
DNP,17.8,0.19,92.73,12.43,3559.0,100008535.0,109145683.0,1942.79
DNR,10.5,2.15,4.89,12.63,,1577500.0,1577500.0,16.56
DNT,25.5,1.7,15.02,10.8,11.0,7459675.0,7459675.0,190.22
DNW,21.5,2.27,9.36,14.17,5692.0,100000000.0,100000000.0,2120.0
DOC,8.5,0.13,65.99,10.19,,10000000.0,10000000.0,85.0
DOP,9.6,1.72,5.57,15.43,180.0,4719950.0,4719950.0,45.31
DP1,15.5,1.87,8.28,11.78,30.0,20979000.0,20979000.0,325.17
DP3,86.0,9.35,9.09,35.84,2182.0,8600000.0,8600000.0,731.0
DPC,12.7,2.07,6.15,20.2,53.0,2237280.0,2237280.0,28.41
DPG,29.3,5.67,5.17,20.35,653553.0,44999810.0,43499810.0,1274.54
DPH,24.5,5.39,4.73,48.13,920.0,3000000.0,3000000.0,76.5
DPM,18.0,2.1,8.55,20.52,3815936.0,391400000.0,391334260.0,7044.02
DPP,15.3,1.93,7.92,14.64,50.0,3000010.0,3000010.0,45.9
DPR,45.5,4.79,9.51,45.59,103554.0,43000000.0,40124790.0,1825.68
DQC,15.7,0.36,44.46,32.87,78268.0,34359416.0,27558066.0,438.17
DRC,22.2,1.92,11.53,13.78,1656167.0,118792605.0,118792605.0,2625.32
DRG,12.3,0.08,146.21,10.21,,155800000.0,155800000.0,1916.34
